"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2023- 01- 01","100.22","97.97","100.88","97.36","163.16M","3.33%"
"2022- 12- 01","96.99","98.30","100.18","96.97","182.23M","-1.32%"
"2022- 11- 01","98.29","95.25","98.32","93.93","151.58M","3.57%"
"2022- 10- 01","94.90","96.89","97.55","93.20","156.65M","-1.49%"
"2022- 09- 01","96.34","100.07","100.67","95.38","167.48M","-4.34%"
"2022- 08- 01","100.71","103.99","104.35","100.64","137.15M","-3.23%"
"2022- 07- 01","104.07","102.21","104.39","101.16","129.14M","2.35%"
"2022- 06- 01","101.68","103.39","103.53","98.86","164.20M","-1.73%"
"2022- 05- 01","103.47","102.32","104.31","101.47","209.53M","0.58%"
"2022- 04- 01","102.87","106.35","106.95","102.67","186.59M","-3.95%"
"2022- 03- 01","107.10","110.60","111.17","105.97","264.02M","-2.95%"
"2022- 02- 01","110.36","111.66","111.97","109.10","182.62M","-1.29%"
"2022- 01- 01","111.80","113.67","113.68","111.36","177.04M","-2.00%"