"날짜","종가","시가","고가","저가","거래량","변동 %"
"2023- 03- 01","409.39","395.41","409.70","380.65","2.52B","3.31%"
"2023- 02- 01","396.26","405.21","418.31","393.64","1.60B","-2.51%"
"2023- 01- 01","406.48","384.37","408.16","377.83","1.58B","6.29%"
"2022- 12- 01","382.43","408.77","410.49","374.77","1.74B","-6.19%"
"2022- 11- 01","407.68","390.14","407.68","368.79","1.75B","5.56%"
"2022- 10- 01","386.21","361.08","389.52","348.11","2.02B","8.13%"
"2022- 09- 01","357.18","392.89","411.73","357.04","2.00B","-9.62%"
"2022- 08- 01","395.18","409.15","431.73","395.04","1.44B","-4.08%"
"2022- 07- 01","411.99","376.56","413.03","371.04","1.44B","9.21%"
"2022- 06- 01","377.25","415.17","417.44","362.17","1.96B","-8.64%"
"2022- 05- 01","412.93","412.07","429.66","380.54","2.42B","0.23%"
"2022- 04- 01","412.00","453.31","457.83","411.21","1.86B","-8.78%"
"2022- 03- 01","451.64","435.04","462.07","415.12","2.38B","3.44%"
"2022- 02- 01","436.63","450.68","458.12","410.64","2.30B","-2.95%"
"2022- 01- 01","449.91","476.30","479.98","420.76","2.49B","-5.27%"
"2021- 12- 01","474.96","461.64","479.00","448.92","1.93B","4.26%"
"2021- 11- 01","455.56","460.30","473.54","455.30","1.34B","-0.80%"
"2021- 10- 01","459.25","430.98","459.56","426.36","1.51B","7.02%"
"2021- 09- 01","429.14","452.56","454.05","428.78","1.75B","-4.97%"
"2021- 08- 01","451.56","440.34","453.07","436.10","1.25B","2.98%"
"2021- 07- 01","438.51","428.87","441.80","421.97","1.42B","2.44%"
"2021- 06- 01","428.06","422.57","428.78","414.70","1.28B","1.91%"
"2021- 05- 01","420.04","419.43","422.82","404.00","1.55B","0.66%"
"2021- 04- 01","417.30","398.40","420.72","398.18","1.46B","5.29%"